,m1,m32,m34,m47,m50,m110,m111,m223,m260,m296,m318,m356,m457,m480,m527,m541,m589,m590,m593,m608,m750,m858,m904,m908,m912,m913,m919,m920,m923,m924,m969,m1036,m1089,m1097,m1136,m1148,m1193,m1196,m1197,m1198,m1200,m1204,m1206,m1207,m1208,m1210,m1213,m1214,m1219,m1220,m1221,m1222,m1225,m1230,m1233,m1234,m1240,m1242,m1247,m1250,m1252,m1258,m1259,m1265,m1270,m1278,m1288,m1291,m1294,m1304,m1307,m1358,m1387,m1394,m1580,m1610,m1617,m1704,m1784,m1923,m2028,m2324,m2396,m2571,m2599,m2692,m2700,m2716,m2762,m2791,m2804,m2858,m2918,m2959,m2997,m3114,m3147,m3421,m3471,m3578
m1,,,0.5882174157049688,,,,,,,,,0.5399731829050526,0.511766526283794,0.5450153486274284,,,0.5199625940281791,0.5087231421830689,,,,,,,,,0.5430373539939997,,,,0.5312136276614086,0.5167605938512829,,0.5776023528720368,,0.5517768705462416,,,0.5258898350737531,0.5179447179351268,,,,,,,,,,,,,,,,,,0.5255918359987684,,0.5224508537555841,,,0.5156660061909091,0.5084620820760624,0.5791569706779564,,,0.5196362909860669,,,0.5452649414238455,,0.5114715080721112,,0.5416627178948128,0.5107276115572303,,,,,0.5128858446387009,,0.5339874232514661,,0.5255402985366877,,,0.5107947166278465,0.5106794135774859,,0.576736498359199,,,,,0.7746409872495055,,,,
m32,,,,0.5684866254387594,,,0.5120169703623446,0.5652280914046811,,,,,,,,,,0.5112300017273377,,,,,,,,,,0.5115358591845262,,,,,0.524584961692016,,,0.5287990650460854,,,0.5136839840357696,,,,0.5611864945434237,,,,,,,0.5189207478246054,,0.5120378337405622,,0.5335255317079916,,,,,,,,,,0.5485346458343098,,,,,0.528580800098279,,0.5101301736897617,0.5213594708857041,,0.5382941388984891,0.5668395043375283,,0.5067030666676046,,0.5367037854860841,0.5199487643275662,,,0.5165996062030952,0.5130256314122641,0.5606339670978197,0.5545561464388258,0.5493257161354599,0.5181220963250484,,,,,,0.6133765163472864,0.5690834743802385,,,,0.5205560573393174,
m34,0.5882174157049688,,,,,,,,,,,,0.5098875827533544,0.5534563076590804,,,0.5291832515842354,0.5444698511194079,,,,,,,,,0.523606610652721,0.5402826300949893,,,0.535643144147908,,,0.5483328624580676,,,,,,,0.5139941098434389,,,0.5198741566097528,,,,0.5113443908765348,,0.5189216552228013,,,,,0.5232090630497117,,,0.5300935285519325,,,,,0.5096107763689899,0.5520097943188562,0.5244635188989782,,,,,0.5076536339250453,0.5271623843680918,,0.5160748453865924,,0.5538258806446407,0.5252519041530639,,,,,,,0.5235353107726163,,0.5393390606032283,,0.5694708298110148,0.5359592988525079,,0.5336816974266533,0.5099068724355007,,,,,0.5931059227489903,,,,
m47,,0.5684866254387594,,,,0.5602713331124917,,0.5196734269553628,,,0.5140489156418898,0.5250103119509695,,0.5240853103505586,,,0.5141393648194436,0.5516234764623441,0.5822110943631238,,,,,,,,,,,,,,0.5502670818254323,,,,,,,,0.5259927758314064,,0.5191828338383077,,,,0.5452028586212722,,,,,0.5249749308580667,,,,,,,,,,0.513220940693002,0.5379618347768901,,0.515434350567531,,,0.5204426805253488,,,,0.5211257262838506,0.521553663142241,,,,,0.5748110520524171,0.5110040362873938,,,,,,,0.5104500862967534,0.5457357394299028,0.510549399920612,,,,,,0.5569294029131409,0.5268295146284895,,0.5232535818428802,,0.5123222221694577,0.5384003349388903
m50,,,,,,,,,0.5703686577638928,0.5404903728143744,0.6345170514191516,,,,0.5725756603652,0.5365929535889709,,,0.5568302901915942,,0.5346820326455604,0.6166836959883033,0.5459668940055046,0.5339605114079101,0.5380584838352627,0.5644797339726226,,,0.5423771530660627,,,,,,0.5645930899696289,0.5994378179914014,0.5791268860021334,,0.5468388898879017,0.571613091335123,,0.5454534870136275,,0.5487464927302976,,,0.5487782037755529,,,,0.5628736129874325,,,,,0.5907603981410356,,,,,0.5387447357023545,,,,,,,,,,,,,,,,0.5608157983745876,,,,,0.5831220291479531,,0.5457052093571322,,0.5320254533130795,,,0.5652396904294363,,,0.5993646985030822,,,,,,,,
m110,,,,0.5602713331124917,,,,,0.5146275329351514,,0.5806446170019426,0.5902132342348022,0.5325499980210464,0.5113208024977309,0.5330842766449726,,0.5289542873057935,0.5829829209728129,0.5074758889543217,,,,,,,,,,,,,0.5541991099063994,,,,,,0.5121035520819406,,0.5294277232819832,,,,,,0.5298584371924832,0.50797824590004,,,,,,,,,,,0.5456465488401477,,,,,0.519697136044704,,0.5073842404212765,,,0.5390481703300875,,,,,,,,0.5447585540702076,,0.5420231333498254,,,0.5862129746028292,0.5617523013025982,0.5190913045373212,0.5544205642304142,,,,0.5135606581327959,0.5211835614192706,,,,,,,,0.5885540314288922,0.5318379131364137,,0.6258093462742234
m111,,,,,,,,,,0.5237485312925586,,,,,,0.5882643777965264,,,,0.5781497325257544,0.5712502648551683,0.5727430186493303,0.5704550997447365,0.5507937682480335,,,,,0.5660467992712559,0.573243058021343,,,0.5392130251601724,,0.5309029894754783,,0.5739068584352143,,,,,0.5566759239186132,0.6026955463767005,,0.5724190678999679,,0.6104500316923269,,0.5551168272593663,,0.5875053405924789,,,0.5877002484934898,,,,,0.5738016323762889,,0.6089957294554973,0.5504202887205739,,,,,0.5691101419653852,,0.5389913693966806,0.5327733185915662,,,,0.5446188244391679,,,,,,,,,,,0.5571546637592507,0.5224772727505721,,,,,,0.5237867561193716,,,0.543642662943955,,,,,
m223,,0.5652280914046811,,0.5196734269553628,,0.498812777609188,,,,0.5108498871207978,,,,0.5276432394750246,,,,0.5163586939204808,,,,,,,,,,0.5147279334265411,,,,,0.5562964089061844,,,,,,,,,,,,,0.540106655932571,,,,0.5652471665986933,,0.5090814061200416,,,,,,,,,,,0.5093733506319926,,0.5021826358668264,0.5008284315541925,,,,,,,,0.5036359307827388,0.5374840414927472,0.5055829407104651,,0.5016000132869409,0.5039289044599342,0.5513889816523905,,,,,0.5164598117541059,0.5428564577850024,0.5702422926983113,0.5185403066883038,,0.5275410898574358,,,0.5463656941690291,0.5382279758621592,0.5108231006151662,,,0.5680387210713296,,0.5220302047668258
m260,,,,,0.5703686577638928,0.5146275329351514,,,,0.5132751069110981,0.5677111996208917,,,,0.5496005601843539,,,,0.5056608861535979,,0.5250776715002953,0.5731377604538427,0.5544880297640732,0.5253281081052369,0.5589251887529565,0.5378649165126471,0.5324254603543201,,,,0.5052546334644906,,,,0.5395918924631209,0.6166851459504361,,0.7987471672442339,0.5400581390148802,0.710493233068081,,0.5203843611904787,,0.5069999422741215,,0.6738462321160645,,,,,,,,,0.52103831702422,0.5660092987226449,0.5031162879494189,,,0.5529688481390675,,,,,,,,0.5302808354059136,,,,,,,,,,,,,0.5198717748010122,,,0.5727640829368577,,,,,0.5535042583730937,,,,,,,,,,,
m296,,,,,0.5404903728143744,,0.5237485312925586,0.5108498871207978,0.5132751069110981,,,,,,,0.520465352916686,,,0.5429061036125788,0.6130737188203526,0.5542750319864755,0.5709034441789249,,,,,,,,,,,0.6648995820351552,,0.5193981899259864,,0.5308520979068516,0.510313586183706,,,,,0.5601200951676898,,0.5446379979556948,,0.6133120502772949,,0.5235929524445203,,0.5601236089208622,0.5121275935260738,,0.5192894771524877,,,,,0.5087471663729135,,,0.5178654345249489,,,,,0.5202304013122597,,,,,0.5176374068542664,,0.5241377572707282,,,0.5388691601544496,,,0.5140510492455367,,,,0.5123537881639694,,,,,,,,0.5773516179969609,,,0.5518812467650331,,,,,
